LigandID,canonical_smiles,class,MW,LogP,HBA,HBD
CHEMBL4794117,C=C1c2cc3c(cc2OC1(F)F)[C@@H](NC(C)=O)CCc1cc(OC)c(OC)c(OC)c1-3,1,431.43500000000023,4.501200000000003,5,1
CHEMBL4800456,C=C1COc2cc3c(cc21)-c1c(cc(OC)c(OC)c1OC)CC[C@@H]3NC(C)=O,1,395.45500000000015,3.908400000000003,5,1
CHEMBL4753994,COc1cc2c(c(OC)c1OC)-c1cc3c(C)coc3cc1[C@@H](NC(C)=O)CC2,1,395.4550000000002,4.557420000000004,5,1
CHEMBL4797732,C/C=C/C=C/C(=O)OCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2cc3cc(COC(C)=O)oc3cc21,1,563.6030000000003,4.967700000000005,9,1
CHEMBL4743585,C/C=C/C=C/C(=O)OCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(C(=O)OC)cc21,1,509.55500000000035,3.945000000000003,8,1
CHEMBL4761555,COC(=O)c1ccc2c(c1)[C@@H](NC(=O)COC(=O)C=C(C)C)CCc1cc(OC)c(OC)c(OC)c1-2,1,497.5440000000004,3.778900000000003,8,1
CHEMBL4744305,C/C=C/C(=O)OCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(C(=O)OC)cc21,1,483.5170000000003,3.3888000000000025,8,1
CHEMBL4761915,C=C1COc2cc3c(cc21)-c1c(cc(OC)c(OC)c1OC)CC[C@@H]3NC(=O)CO,1,411.4540000000002,2.880800000000001,6,2
CHEMBL4798577,C/C=C/C=C/C(=O)NCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(C(=O)OC)cc21,1,508.57100000000037,3.5180000000000025,7,2
CHEMBL4790387,C/C=C1/COc2cc3c(cc21)-c1c(cc(OC)c(OC)c1OC)CC[C@@H]3NC(C)=O,1,409.4820000000002,4.298500000000003,5,1
CHEMBL4070492,COc1cc2c(c(OC)c1OC)-c1cc3cc(CO)oc3cc1C(O)CC2,1,370.4010000000001,3.597500000000002,6,2
CHEMBL4786968,COC(=O)c1ccc2c(c1)[C@@H](NC(=O)COC(=O)/C=C/C(F)(F)F)CCc1cc(OC)c(OC)c(OC)c1-2,1,537.4870000000002,3.931200000000003,8,1
CHEMBL4749586,COC(=O)c1ccc2c(c1)[C@@H](NC(=O)CO)CCc1cc(OC)c(OC)c(OC)c1-2,1,415.44200000000023,2.2618,7,2
CHEMBL4789567,COC(=O)c1ccc2c(c1)[C@@H](NC(=O)COC(=O)CC(C)SC[C@@H](NC(C)=O)C(=O)OC)CCc1cc(OC)c(OC)c(OC)c1-2,1,660.7420000000002,3.002200000000001,12,2
