LigandID,canonical_smiles,class
CHEMBL4794117,C=C1c2cc3c(cc2OC1(F)F)[C@@H](NC(C)=O)CCc1cc(OC)c(OC)c(OC)c1-3,1
CHEMBL4800456,C=C1COc2cc3c(cc21)-c1c(cc(OC)c(OC)c1OC)CC[C@@H]3NC(C)=O,1
CHEMBL4753994,COc1cc2c(c(OC)c1OC)-c1cc3c(C)coc3cc1[C@@H](NC(C)=O)CC2,1
CHEMBL4797732,C/C=C/C=C/C(=O)OCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2cc3cc(COC(C)=O)oc3cc21,1
CHEMBL4743585,C/C=C/C=C/C(=O)OCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(C(=O)OC)cc21,1
CHEMBL4761555,COC(=O)c1ccc2c(c1)[C@@H](NC(=O)COC(=O)C=C(C)C)CCc1cc(OC)c(OC)c(OC)c1-2,1
CHEMBL4744305,C/C=C/C(=O)OCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(C(=O)OC)cc21,1
CHEMBL4761915,C=C1COc2cc3c(cc21)-c1c(cc(OC)c(OC)c1OC)CC[C@@H]3NC(=O)CO,1
CHEMBL4798577,C/C=C/C=C/C(=O)NCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(C(=O)OC)cc21,1
CHEMBL4790387,C/C=C1/COc2cc3c(cc21)-c1c(cc(OC)c(OC)c1OC)CC[C@@H]3NC(C)=O,1
CHEMBL4070492,COc1cc2c(c(OC)c1OC)-c1cc3cc(CO)oc3cc1C(O)CC2,1
CHEMBL4786968,COC(=O)c1ccc2c(c1)[C@@H](NC(=O)COC(=O)/C=C/C(F)(F)F)CCc1cc(OC)c(OC)c(OC)c1-2,1
CHEMBL4749586,COC(=O)c1ccc2c(c1)[C@@H](NC(=O)CO)CCc1cc(OC)c(OC)c(OC)c1-2,1
CHEMBL4789567,COC(=O)c1ccc2c(c1)[C@@H](NC(=O)COC(=O)CC(C)SC[C@@H](NC(C)=O)C(=O)OC)CCc1cc(OC)c(OC)c(OC)c1-2,1
CHEMBL4100071,COc1cc2c(c(OC)c1OC)-c1cc3cc(CO)oc3cc1C(=O)CC2,1
CHEMBL4794634,COC(=O)c1ccc2c(c1)[C@@H](NC(=O)CNC(=O)C=C(C)C)CCc1cc(OC)c(OC)c(OC)c1-2,1
CHEMBL4763029,COC(=O)c1ccc2c(c1)[C@@H](NC(=O)CNC(=O)/C=C/C(F)(F)F)CCc1cc(OC)c(OC)c(OC)c1-2,1
CHEMBL4741408,C=CC(=O)OCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(C(=O)OC)cc21,1
CHEMBL2205254,COc1cc(/C=C\c2cc3ccccc3s2)cc(OC)c1OC,1
CHEMBL3633641,CCCCCCCCCCCCNC(=O)CC1c2cccc(O)c2C(=O)c2c(O)cccc21,1
CHEMBL4740897,C=CC(=O)NCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(C(=O)OC)cc21,1
CHEMBL4759719,C/C=C/C(=O)NCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(C(=O)OC)cc21,1
CHEMBL4067957,Cc1nnc(-c2cc3c(s2)C(=O)c2ccccc2C3=O)o1,1
CHEMBL4794828,CC/C=C1/COc2cc3c(cc21)-c1c(cc(OC)c(OC)c1OC)CC[C@@H]3NC(C)=O,1
CHEMBL4095356,CCc1nnc(-c2cc3c(s2)C(=O)c2ccccc2C3=O)o1,1
CHEMBL2437042,CCC(CC)(c1ccc(OCC(O)C(C)(C)C)c(C)c1)c1ccc(C(=O)N[C@H](CO)CCO)n1C,1
CHEMBL4087663,O=C1c2ccccc2C(=O)c2sc(-c3nnco3)cc21,1
CHEMBL4163989,COc1cc(-c2ocnc2-c2cc(Br)c(OC)c(OC)c2)ccc1SC,1
CHEMBL4071894,O=C1c2ccccc2C(=O)c2sc(-c3nncs3)cc21,1
CHEMBL4161446,COc1ccc(-c2ocnc2-c2cc(OC)c(SC)c(OC)c2)cc1O,1
CHEMBL3633636,CCOC(=O)CC1c2cccc(O)c2C(=O)c2c(O)cccc21,1
CHEMBL4086687,CCc1noc(-c2cc3c(s2)C(=O)c2ccccc2C3=O)n1,1
CHEMBL4755840,COc1cc2c(c(OC)c1OC)-c1cc3c(cc1[C@@H](NC(C)=O)CC2)OCC3=C(C)C,1
CHEMBL4759452,C/C=C/C=C/C(=O)NCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2cc3cc(CO)oc3cc21,1
CHEMBL4782566,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCc1n[nH]c(CC(=O)OCC(=O)N[C@H]2CCc3cc(OC)c(OC)c(OC)c3-c3ccc(C(=O)OC)cc32)n1,1
CHEMBL4169370,COc1cc(-c2ocnc2-c2cc(OC)c(OC)c(OC)c2)ccc1SC,1
CHEMBL93347,CC(=O)c1cc2c(s1)C(=O)c1ccccc1C2=O,1
CHEMBL4066802,N#Cc1cc2c(s1)C(=O)c1ccccc1C2=O,1
CHEMBL4166523,COc1ccc(-c2c(-c3cc(OC)c(SC)c(OC)c3)ncn2C)cc1O,1
CHEMBL4159306,COc1ccc(-c2ocnc2-c2cc(Br)c(OC)c(OC)c2)cc1SC,1
CHEMBL3633645,COc1ccc(C(NC(=O)CC2c3cccc(O)c3C(=O)c3c(O)cccc32)c2ccc(OC)cc2)cc1,1
